"('熊孩子莫名的喜感',)","('285好笑',)"
"('你吃过绿色的鸡蛋吗？不是臭了的那种！',)","('\n289好笑\n·\n3评论\n',)"
"('狗子你疯了吗？',)","('\n242好笑\n',)"
"('一直都在控制闺女吃零食，每天只能吃一次。我就把所有零食都藏起来，每天拿出来一点。告诉她说:妈妈会魔法，可以变出来零食，但是魔法一天只能使用一次。闺女信以为真的告',)","('\n144好笑\n',)"
"('转载至《驱魔录》',)","('\n121好笑\n·\n8评论\n',)"
"('女人无情起来真的好无情',)","('\n222好笑\n·\n1评论\n',)"
"(None,)","('\n323好笑\n·\n1评论\n',)"
"('梅西：终于买到卷纸了！',)","('\n37好笑\n',)"
"('都好看，喜欢😍',)","('\n193好笑\n',)"
"('男：大师为什么我家产数亿，高大英俊，却就是得不到她的心呢？大师递给他一个完成了一半的竹篮。男：大师，我明白了你是要告诉我不要半途而废吗？大师：我是TM让你接着编',)","('\n105好笑\n',)"
"('表面上是个包，实际上他是个水果',)","('\n185好笑\n·\n2评论\n',)"
"('我还有手的时候玩的比他还溜\xa0\xa0【搞笑】•́.̫•̀',)","('\n166好笑\n·\n6评论\n',)"
"('医生敢写，护士敢拿，我们……',)","('\n395好笑\n·\n4评论\n',)"
"('？？这话接得怎么样',)","('\n353好笑\n·\n3评论\n',)"
"('吓死你个老太婆',)","('\n200好笑\n',)"
"('为什么这么喜庆呢',)","('117好笑',)"
"('体验服三大细节更新，团竞神器即将来袭！',)","('\n330好笑\n·\n1评论\n',)"
"('这和不要钱有什么区别？我不允许广西螺蛳粉身价如此低！！！',)","('\n344好笑\n·\n3评论\n',)"
"('m：你晚上又没吃饭，你不饿，我都心疼w：好了吧，饿死我，你正开心m：你这人，怎么这样说话w：是啊，都说到你心坎里去了',)","('\n283好笑\n',)"
"('一只自带美颜的羊驼宝宝，真是羊驼界的一股清流，萌死了',)","('\n372好笑\n·\n2评论\n',)"
"(None,)","('\n158好笑\n',)"
"('人家是上辈子的小情人，你这是上辈子的大仇人啊',)","('\n504好笑\n·\n9评论\n',)"
"('同学，我是你的老师啊。。我也要交作业给你吗？',)","('\n165好笑\n',)"
"('哪个瞬间你觉得自己像个智障？',)","('\n632好笑\n·\n10评论\n',)"
"('天热了，给老丈人买了箱啤酒，老丈人客气说：“买这个干啥，我又不喝。”我客气道：“怎么也得有酒啊，要不我来了喝什么!”后来住了几天，有菜没菜喝一瓶。今天隐约听到老',)","('\n145好笑\n·\n1评论\n',)"
"('小马活干的不错',)","('\n193好笑\n',)"
"('神一样的隐藏',)","('\n147好笑\n',)"
"('我文化水平不高，你说的这两个波尔多是同一个波尔多吗？',)","('\n155好笑\n',)"
"('""医生：“请张开嘴。”病人：“医生，谢谢。”医生：“谢我干吗？”病人：“我丈夫老是叫我闭嘴！”',)","('\n79好笑\n',)"
